                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6108,                 2.4738,                 1.6165,                0.85065,                0.07328,                 0.2686,                0.13359,                 1.5602,                 2.9822,                  1.341,                0.00062,                0.00062,                0.00062
                      2,                 1.5841,                  2.028,                 1.6016,                0.39482,                0.28879,                0.23874,                0.10995,                 1.8099,                 2.5571,                 1.6672,              0.0012101,              0.0012101,              0.0012101
                      3,                 1.6497,                 2.0266,                 1.6468,                0.29307,                0.29127,                0.20408,                 0.0862,                 1.9562,                 2.5845,                 1.8065,              0.0017495,              0.0017495,              0.0017495
                      4,                 1.6231,                 1.8777,                 1.6201,                0.23989,                0.29741,                 0.1971,                0.09253,                  2.049,                 2.6571,                 1.8918,              0.0017624,              0.0017624,              0.0017624
                      5,                  1.622,                 1.8395,                 1.6275,                0.42987,                  0.375,                0.33451,                0.15477,                  1.982,                 2.2414,                 1.8538,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.5369,                 1.6494,                 1.5402,                0.65442,                0.43262,                0.51574,                  0.256,                  1.771,                 1.8835,                 1.6263,               0.001604,               0.001604,               0.001604
                      7,                 1.5371,                 1.6134,                 1.5499,                0.59459,                0.49138,                0.54084,                0.26379,                  1.743,                  1.796,                 1.6107,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.4814,                 1.5509,                 1.5211,                0.49105,                0.43534,                0.45603,                0.20993,                 1.8852,                  1.987,                 1.6714,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4861,                  1.548,                  1.503,                0.42845,                0.34483,                0.34396,                0.15354,                  2.023,                 2.2438,                 1.8512,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.4507,                 1.4599,                 1.4709,                0.53314,                0.50431,                0.50869,                0.22282,                 1.8212,                 1.8468,                 1.6466,              0.0012872,              0.0012872,              0.0012872
                     11,                 1.3963,                 1.3604,                 1.4444,                0.69125,                0.51148,                0.59779,                0.29054,                 1.8345,                 1.6405,                 1.6449,               0.001208,               0.001208,               0.001208
                     12,                 1.3707,                 1.3431,                 1.4319,                0.74998,                0.55597,                0.65732,                0.33063,                 1.6775,                 1.5604,                 1.4994,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.3892,                 1.3413,                 1.4378,                0.68678,                0.66379,                0.70887,                0.34358,                 1.7541,                 1.4192,                 1.5231,              0.0010496,              0.0010496,              0.0010496
                     14,                  1.351,                 1.2784,                 1.4068,                0.67523,                0.67211,                 0.6792,                0.32479,                 1.7484,                 1.4296,                 1.5157,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.3355,                 1.2262,                 1.3809,                0.70697,                0.62931,                0.69485,                0.33887,                 1.7117,                  1.418,                 1.4836,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.2978,                 1.1964,                 1.3715,                0.75864,                0.59483,                0.69717,                0.36627,                 1.6326,                 1.3638,                 1.4372,               0.000812,               0.000812,               0.000812
                     17,                  1.248,                 1.0818,                 1.3228,                0.76968,                0.61207,                0.68789,                0.38052,                 1.5519,                 1.4099,                  1.418,              0.0007328,              0.0007328,              0.0007328
                     18,                   1.23,                 1.0351,                  1.319,                0.72429,                 0.6341,                 0.7077,                0.37345,                 1.6411,                 1.3398,                 1.4261,              0.0006536,              0.0006536,              0.0006536
                     19,                 1.1704,                0.95633,                 1.2781,                0.77005,                  0.625,                0.69246,                0.36629,                 1.6839,                 1.3865,                  1.472,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.1302,                0.89582,                 1.2424,                0.69606,                0.66136,                0.71691,                0.37801,                  1.686,                 1.3565,                 1.4605,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.1278,                0.85758,                 1.2265,                0.80978,                0.67893,                0.72739,                0.39643,                 1.5492,                 1.2553,                 1.4074,               0.000416,               0.000416,               0.000416
                     22,                 1.0741,                0.81348,                 1.2077,                0.68923,                  0.625,                0.67472,                0.36284,                 1.6322,                 1.4204,                 1.4489,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.0792,                0.80093,                 1.2062,                 0.7555,                0.65262,                0.70815,                0.39109,                 1.5799,                 1.2703,                 1.4288,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.0611,                0.77396,                 1.1956,                0.83065,                0.63793,                0.73147,                0.39945,                  1.599,                 1.2627,                 1.4447,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.0234,                0.74125,                 1.1693,                0.78158,                0.67864,                0.73824,                0.40858,                 1.5648,                 1.2092,                 1.4199,               9.92e-05,               9.92e-05,               9.92e-05
